Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,4/21/2026 10:49:40 AM,7323,109.9,0,1.003,0.04344,0,0.009668,0,0,0,100,16.28,0.002135,0,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,3,[ OK ]
1.6,4/21/2026 10:49:42 AM,7325,109.9,0,0.6367,0.04176,0.2725,0.3371,0,0,0,100,16.28,0.002457,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,3,[ OK ]
3.6,4/21/2026 10:49:44 AM,7327,109.9,0,0.382,0.04235,0.3856,0.9797,0,0,0,100,16.28,0.002659,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
5.3,4/21/2026 10:49:46 AM,7329,109.9,0,0.9391,0.04255,0.4393,1.264,0,0,0,100,16.28,0.00278,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
6.0,4/21/2026 10:49:46 AM,7330,109.9,0,1.082,0.04265,0.4505,1.318,0,0,0,100,16.28,0.002618,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
6.7,4/21/2026 10:49:47 AM,7330,109.9,0,1.003,0.04186,0.4581,1.355,0,0,0,100,16.28,0.00141,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
7.2,4/21/2026 10:49:48 AM,7331,109.9,0,0.9869,0.04553,0.4622,1.392,0,0,0,100,16.28,0.001611,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
7.9,4/21/2026 10:49:48 AM,7332,109.9,0,0.971,0.04523,0.4673,1.418,0,0,0,100,16.28,0.003062,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
8.4,4/21/2026 10:49:49 AM,7332,109.9,0,0.6367,0.04176,0.4718,1.425,0,0,0,100,16.28,0.002618,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
9.1,4/21/2026 10:49:49 AM,7333,109.9,0,0.764,0.03918,0.4751,1.445,0,0,0,100,16.28,0.004149,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
9.7,4/21/2026 10:49:50 AM,7333,109.9,0,0.971,0.04364,0.4774,1.467,0,0,0,100,16.28,0.003545,0.02538,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
10.3,4/21/2026 10:49:51 AM,7334,109.9,0,0.7481,0.04136,0.4797,1.474,0,0,0,100,16.28,0.00282,0.01269,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
10.9,4/21/2026 10:49:51 AM,7335,109.9,0,1.257,0.04245,0.4822,1.481,0,0,0,100,16.28,0.002739,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
11.6,4/21/2026 10:49:52 AM,7335,109.9,0,0.5571,0.04225,0.4832,1.495,0,0,0,100,16.28,0.003424,0.05076,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
12.1,4/21/2026 10:49:52 AM,7336,109.9,0,1.019,0.04255,0.4849,1.496,0,0,0,100,16.28,0.002981,0.1332,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
12.9,4/21/2026 10:49:53 AM,7337,109.9,0,1.289,0.04215,0.4862,1.504,0,0,0,100,16.28,0.002498,0.006345,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
13.5,4/21/2026 10:49:54 AM,7337,109.9,0,1.464,0.03977,0.4871,1.509,0,0,0,100,16.28,0.002216,0.04441,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
14.0,4/21/2026 10:49:54 AM,7338,109.9,0,1.066,0.04235,0.488,1.511,0,0,0,100,16.28,0.0029,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
14.7,4/21/2026 10:49:55 AM,7338,109.9,0,0.7959,0.04344,0.4896,1.507,0,0,0,100,16.28,0.002659,0.006345,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
15.2,4/21/2026 10:49:56 AM,7339,109.9,0,0.971,0.04265,0.4905,1.507,0,0,0,100,16.28,0.002457,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
15.9,4/21/2026 10:49:56 AM,7340,109.9,0,0.8755,0.04255,0.4911,1.51,0,0,0,100,16.28,0.002095,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
16.4,4/21/2026 10:49:57 AM,7340,109.9,0,0.8436,0.03838,0.4918,1.511,0,0,0,100,16.28,0.0029,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
17.1,4/21/2026 10:49:57 AM,7341,109.9,0,1.21,0.04215,0.4926,1.51,0,0,0,100,16.28,0.002699,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
17.7,4/21/2026 10:49:58 AM,7341,109.9,0,0.5412,0.04106,0.4929,1.515,0,0,0,100,16.28,0.002457,0.02538,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
18.4,4/21/2026 10:49:59 AM,7342,109.9,0,1.003,0.04513,0.493,1.52,0,0,0,100,16.28,0.003988,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
18.9,4/21/2026 10:49:59 AM,7343,109.9,0,1.051,0.04245,0.4941,1.513,0,0,0,100,16.28,0.002498,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
19.4,4/21/2026 10:50:00 AM,7343,109.9,0,0.9551,0.04414,0.4939,1.521,0,0,0,100,16.28,0.001249,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
20.0,4/21/2026 10:50:00 AM,7344,109.9,0,1.003,0.04195,0.4949,1.514,0,0,0,100,16.28,0.003062,0.1205,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
20.7,4/21/2026 10:50:01 AM,7344,109.9,0,1.019,0.04205,0.4947,1.522,0,0,0,100,16.28,0.002256,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
21.2,4/21/2026 10:50:01 AM,7345,109.9,0,1.066,0.03928,0.4947,1.526,0,0,0,100,16.28,0.002578,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,-1,[ OK ]
22.5,4/21/2026 10:50:03 AM,7346,109.9,0,0.5571,0.04225,0.4956,1.522,0,0,0,100,16.28,0.002659,0,1,1,0,0,1,0,1,-1,1,0,4,3.053,3,4,[ OK ]
24.3,4/21/2026 10:50:05 AM,7347,109.9,0,1.003,0.04186,0.4964,1.524,0,0,0,100,16.28,0.2103,404.4,1,1,0,0,1,0,1,-1,1,0,1,3.211,3,4,[ OK ]
26.0,4/21/2026 10:50:06 AM,7349,109.9,0,1.019,0.04017,0.4978,1.521,0,0,0,100,16.28,0.2104,404.2,200,1,0,0,1,0,1,-1,1,0,1,3.316,3,4,[ OK ]
27.6,4/21/2026 10:50:08 AM,7351,109.9,0,1.273,0.04186,0.4985,1.523,0,0,0,100,16.28,0.2115,404.4,200,1,0,0,1,0,1,-1,1,0,1,3.474,3,4,[ OK ]
29.1,4/21/2026 10:50:09 AM,7352,109.9,0.02824,14.66,0.04959,0.4994,1.521,0,0,0,100,16.28,0.2102,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.632,3,4,[ OK ]
30.8,4/21/2026 10:50:11 AM,7354,109.9,0.03672,30.05,0.04741,0.4995,1.53,0,0,0,100,16.28,0.2142,404.5,200,1,0,-1,1,0,1,-1,1,1,1,3.684,3,4,[ OK ]
32.3,4/21/2026 10:50:13 AM,7355,109.9,0.04127,38.25,0.05118,0.6367,2.21,0,0,0,100,16.28,0.2124,404,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
33.7,4/21/2026 10:50:14 AM,7357,109.9,0.04402,43.06,0.05098,0.6845,2.443,0,0,0,100,16.28,0.2122,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
34.7,4/21/2026 10:50:15 AM,7358,109.9,0.04557,45.37,0.04731,0.7104,2.553,0,0,0,100,16.28,0.2121,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
35.6,4/21/2026 10:50:16 AM,7359,109.9,0.04617,46.89,0.0489,0.7238,2.599,0,0,0,100,16.28,0.2146,404.4,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
36.5,4/21/2026 10:50:17 AM,7360,109.9,0.04696,46.86,0.04771,0.7332,2.648,0,0,0,100,16.28,0.2121,404.4,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
